,City,Country,Date,Longitude,Latitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
418,Sorland,NO,1547431680,12.69,67.67,34.57,100,68,7.65
419,Hithadhoo,MV,1547431583,73.08,-0.6,81.37,100,56,6.76
420,Ribeira Grande,PT,1547431573,-28.7,38.52,61.3,100,76,12.35
421,Shasta Lake,US,1547430600,-122.36,40.68,57.92,80,1,1.99
423,Abu Kamal,SY,1547431682,40.92,34.45,42.31,63,0,12.46
424,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
425,Broome,GB,1547430960,1.45,52.47,42.8,81,76,12.75
426,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
427,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
428,Vaini,IN,1547427600,74.49,15.34,55.4,93,0,5.91
429,Rocha,UY,1547431683,-54.34,-34.48,68.86,98,100,6.8
430,Joshimath,IN,1547431684,79.57,30.57,-8.99,97,0,0.72
431,Waingapu,ID,1547431684,120.26,-9.65,82.81,86,56,6.42
432,Puerto Ayora,EC,1547431608,-90.35,-0.74,76.6,99,88,7.02
433,Pingliang,CN,1547431685,106.68,35.54,26.02,58,48,9.1
434,Sinnamary,GF,1547431660,-52.96,5.38,78.85,95,92,8.66
435,Klaksvik,FO,1547430600,-6.59,62.23,32,100,20,10.29
436,Tasiilaq,GL,1547427000,-37.64,65.61,14,85,24,2.24
437,Lompoc,US,1547429700,-120.46,34.64,57.92,58,90,10.29
438,Dikson,RU,1547431417,80.55,73.51,0.64,94,80,30.69
439,Kapaa,US,1547427360,-159.32,22.08,78.98,68,40,6.93
440,Cape Town,ZA,1547427600,18.42,-33.93,59,82,0,3.36
441,Port Macquarie,AU,1547427600,152.91,-31.43,82.4,51,0,9.17
442,Laguna,MX,1547430060,-110.01,27.52,62.6,55,5,4.7
444,Mahebourg,MU,1547427600,57.7,-20.41,78.8,74,40,9.17
445,Aksay,RU,1547429400,39.86,47.27,17.6,92,75,3.4
446,East London,ZA,1547431559,27.91,-33.02,69.76,100,0,5.08
447,Portales,US,1547428680,-103.33,34.19,40.28,64,90,8.05
448,Baruun-Urt,MN,1547431684,113.28,46.68,-2.6,44,0,13.85
449,Rawson,AR,1547431692,-65.11,-43.3,65.44,42,0,16.37
450,Vila Franca do Campo,PT,1547429400,-25.43,37.72,59,72,40,9.17
451,Aykhal,RU,1547431569,111.51,65.95,-50.84,0,0,2.73
452,Saskylakh,RU,1547431440,114.09,71.97,-56.51,0,0,7.92
453,Mvuma,ZW,1547431693,30.53,-19.28,64.18,89,8,6.42
454,Kedrovyy,RU,1547429400,91.82,56.17,-16.61,75,32,2.24
455,Faanui,PF,1547431592,-151.75,-16.48,83.08,100,92,16.49
456,Arraial do Cabo,BR,1547431565,-42.02,-22.97,76.42,87,0,14.14
457,Djibo,BF,1547431694,-1.63,14.1,60.4,26,0,9.44
458,Adrar,DZ,1547427600,-0.29,27.87,42.8,41,0,8.05
459,Ugoofaaru,MV,1547431587,73,5.67,81.46,100,32,12.06
461,Carnarvon,ZA,1547431635,22.13,-30.97,50.86,65,0,5.53
462,Kupang,ID,1547429400,123.6,-10.16,86,70,75,2.24
463,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
464,Russell,AR,1547427600,-68.8,-33.01,73.4,60,40,4.7
465,San Juan,PH,1547427600,121.03,14.6,82.4,61,20,6.93
467,Port Alfred,ZA,1547431589,26.89,-33.59,66.61,98,88,7.09
468,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
469,Port Elizabeth,US,1547430840,-74.98,39.31,32,66,90,16.11
470,Hithadhoo,MV,1547431583,73.08,-0.6,81.37,100,56,6.76
471,Okha,RU,1547431699,142.95,53.59,1.99,90,0,4
472,Saint-Philippe,CA,1547430360,-73.48,45.36,8.6,78,1,2.24
473,Autun,FR,1547429400,4.3,46.95,48.2,93,90,16.11
474,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
475,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
476,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
477,Bull Savanna,JM,1547431707,-77.59,17.89,69.31,86,8,2.06
478,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
479,Mahebourg,MU,1547427600,57.7,-20.41,78.8,74,40,9.17
481,Luderitz,NA,1547431576,15.16,-26.65,60.58,89,0,12.8
483,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
484,Saint-Philippe,CA,1547430360,-73.48,45.36,8.6,78,1,2.24
485,Khandyga,RU,1547431570,135.58,62.65,-49.49,0,12,2.55
486,Hobart,AU,1547429400,147.33,-42.88,75.2,33,0,13.87
487,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
488,Hamilton,BM,1547427300,-64.78,32.3,64.4,72,75,11.41
489,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
490,Castro,CL,1547427600,-73.76,-42.48,53.6,76,0,4.7
491,Bredasdorp,ZA,1547427600,20.04,-34.53,64.4,72,88,1.12
492,Carutapera,BR,1547431501,-46.02,-1.2,77.68,94,64,7.02
493,Thompson,CA,1547427600,-97.86,55.74,5,84,5,6.93
494,Xining,CN,1547431711,101.77,36.62,10.99,62,44,3.51
495,Cape Town,ZA,1547427600,18.42,-33.93,59,82,0,3.36
496,Najran,SA,1547427600,44.22,17.54,55.4,67,0,1.99
497,Hithadhoo,MV,1547431583,73.08,-0.6,81.37,100,56,6.76
498,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
499,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
500,Kaitangata,NZ,1547431472,169.85,-46.28,58.78,84,32,12.68
501,Sobolevo,RU,1547431713,31.9,54.43,31.78,95,92,16.15
502,Cape Town,ZA,1547427600,18.42,-33.93,59,82,0,3.36
503,Mayumba,GA,1547431713,10.65,-3.44,76.69,100,92,1.88
505,Kutum,SD,1547431714,24.66,14.2,46.63,36,0,6.31
506,Chokurdakh,RU,1547431563,147.9,70.62,-26.72,42,20,2.89
507,Port Elizabeth,US,1547430840,-74.98,39.31,32,66,90,16.11
508,Saint-Philippe,CA,1547430360,-73.48,45.36,8.6,78,1,2.24
509,Hambantota,LK,1547428200,81.12,6.12,75.2,100,75,3.36
510,Annau,TM,1547427600,58.52,37.89,53.6,40,90,4.7
512,Praia,BR,1547427600,-43.81,-20.25,75.2,57,0,6.93
513,Mar del Plata,AR,1547431562,-67.52,-46.43,59.41,65,0,5.57
514,Port Alfred,ZA,1547431589,26.89,-33.59,66.61,98,88,7.09
515,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
516,Provideniya,RU,1547429400,-173.23,64.42,3.2,71,90,20.13
517,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
518,Hermanus,ZA,1547431576,19.24,-34.42,54.55,96,76,2.73
519,Ziyang,CN,1547431717,104.65,30.12,44.74,99,36,4.41
520,Airai,TL,1547431430,125.41,-8.93,80.02,70,48,1.5
521,Alofi,NU,1547427600,-169.92,-19.06,86,70,0,11.41
522,Port Hedland,AU,1547429400,118.58,-20.31,96.8,37,0,25.28
523,Pahrump,US,1547427480,-115.98,36.21,48.92,31,1,9.17
524,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
525,Wilmington,US,1547430900,-75.55,39.75,30.92,63,90,3.36
527,Salinopolis,BR,1547431722,-47.36,-0.61,79.12,100,48,9.78
528,Ribeira Grande,PT,1547431573,-28.7,38.52,61.3,100,76,12.35
529,Jaicos,BR,1547431723,-41.14,-7.36,69.4,99,56,9.26
530,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
531,Northeim,DE,1547431723,10,51.71,35.56,95,88,21.18
532,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
533,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
534,Mataura,NZ,1547431419,168.86,-46.19,62.38,78,36,7.54
535,Jumla,NP,1547431724,82.18,29.28,12.88,80,0,2.06
536,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
537,Esperance,TT,1547427600,-61.45,10.24,75.2,73,20,4.85
539,Carnarvon,ZA,1547431635,22.13,-30.97,50.86,65,0,5.53
540,Saskylakh,RU,1547431440,114.09,71.97,-56.51,0,0,7.92
541,Kapaa,US,1547427360,-159.32,22.08,78.98,68,40,6.93
542,Dikson,RU,1547431417,80.55,73.51,0.64,94,80,30.69
544,Yellowknife,CA,1547427600,-114.38,62.45,-27.41,67,20,5.82
545,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
546,Mataura,NZ,1547431419,168.86,-46.19,62.38,78,36,7.54
548,Atambua,ID,1547431727,124.89,-9.11,77.68,100,92,10.89
549,Butaritari,KI,1547431602,172.79,3.07,83.98,100,80,15.19
552,Codrington,AU,1547427600,153.24,-28.95,86,48,75,10.29
553,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
554,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
555,Torbay,CA,1547427600,-52.73,47.66,24.8,68,90,20.8
556,Lagos,NG,1547427600,3.39,6.46,80.6,94,80,6.24
558,Dakar,SN,1547429400,-17.45,14.69,69.8,83,12,12.75
559,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
560,Lagoa,PT,1547429400,-8.45,37.14,44.6,75,0,6.93
561,Plouzane,FR,1547429400,-4.62,48.38,50,93,90,10.29
562,Longyearbyen,NO,1547430600,15.63,78.22,12.2,66,75,13.87
563,Tasiilaq,GL,1547427000,-37.64,65.61,14,85,24,2.24
565,Lompoc,US,1547429700,-120.46,34.64,57.92,58,90,10.29
566,Margate,AU,1547429400,147.26,-43.03,75.2,33,0,13.87
567,Klaksvik,FO,1547430600,-6.59,62.23,32,100,20,10.29
568,Loukhi,RU,1547431732,33.04,66.08,8.92,76,44,2.84
569,Khatanga,RU,1547431583,102.47,71.98,-27.89,44,44,9.78
570,Beitbridge,ZA,1547431733,29.99,-22.21,76.87,75,12,7.09
571,Yellowknife,CA,1547427600,-114.38,62.45,-27.41,67,20,5.82
573,Monroe,US,1547430960,-83.4,41.91,28.4,78,1,6.93
574,Saint-Philippe,CA,1547430360,-73.48,45.36,8.6,78,1,2.24
575,Arraial do Cabo,BR,1547431565,-42.02,-22.97,76.42,87,0,14.14
576,Clyde River,CA,1547427600,-68.59,70.47,-31.01,66,20,6.93
577,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
578,Praya,ID,1547429400,116.27,-8.71,84.2,83,40,5.82
581,Cherskiy,RU,1547431736,161.3,68.75,-28.97,0,20,2.77
582,Bluff,AU,1547431581,149.07,-23.58,91.72,39,0,12.95
583,Lavrentiya,RU,1547431581,-170.99,65.58,0.46,100,92,34.72
584,Airai,TL,1547431430,125.41,-8.93,80.02,70,48,1.5
586,Port Blair,IN,1547427600,92.75,11.67,78.8,88,40,6.93
588,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
589,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
590,Vila Velha,BR,1547427600,-38.6,-3.71,80.6,88,20,3.36
591,Lagoa,PT,1547429400,-8.45,37.14,44.6,75,0,6.93
592,Udachnyy,RU,1547431723,112.4,66.42,-51.38,0,0,2.84
593,Necochea,AR,1547431570,-58.74,-38.55,65.17,96,88,9.37
594,Sidi Ali,DZ,1547431742,0.42,36.1,29.89,81,0,2.62
595,Ribeira Grande,PT,1547431573,-28.7,38.52,61.3,100,76,12.35
596,Barrow,AR,1547431414,-60.23,-38.31,64.09,97,92,10.16
597,Turukhansk,RU,1547431746,87.96,65.8,-7.55,62,68,16.98
598,Mazyr,BY,1547431746,29.27,52.05,32.68,95,88,16.93
599,Port Shepstone,ZA,1547431747,30.45,-30.74,71.65,95,24,7.36
600,Prieska,ZA,1547431747,22.74,-29.67,56.08,75,0,2.73
601,Dikson,RU,1547431417,80.55,73.51,0.64,94,80,30.69
602,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
603,Leningradskiy,RU,1547431748,178.42,69.38,-16.91,100,36,10.83
605,Bredasdorp,ZA,1547427600,20.04,-34.53,64.4,72,88,1.12
606,Nanortalik,GL,1547431484,-45.24,60.14,28.54,96,80,23.35
607,Kapaa,US,1547427360,-159.32,22.08,78.98,68,40,6.93
608,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
609,Coihaique,CL,1547427600,-72.07,-45.58,60.8,51,0,4.7
610,Tessalit,ML,1547431743,1.01,20.2,40.87,48,0,7.36
